Skills v1
1,Liver of Steel,http://images.kingdomofloathing.com/itemimages/liver.gif
2,Chronic Indigestion,http://images.kingdomofloathing.com/itemimages/fireball.gif
3,The Smile of Mr. A.,http://images.kingdomofloathing.com/itemimages/gma.gif
4,Arse Shoot,http://images.kingdomofloathing.com/itemimages/asshat.gif
5,Stomach of Steel,http://images.kingdomofloathing.com/itemimages/stomach.gif
6,Spleen of Steel,http://images.kingdomofloathing.com/itemimages/salspleen.gif
10,Powers of Observatiogn,http://images.kingdomofloathing.com/itemimages/eyesright.gif
11,Gnefarious Pickpocketing,http://images.kingdomofloathing.com/itemimages/pocket.gif
12,Torso Awaregness,http://images.kingdomofloathing.com/itemimages/wtee2.gif
13,Gnomish Hardigness,http://images.kingdomofloathing.com/itemimages/stronggnome.gif
14,Cosmic Ugnderstanding,http://images.kingdomofloathing.com/itemimages/brainstars.gif
15,CLEESH,http://images.kingdomofloathing.com/itemimages/commacha.gif
16,Summon Snowcone,http://images.kingdomofloathing.com/itemimages/dsnowcone.gif
17,Summon Hilarious Objects,http://images.kingdomofloathing.com/itemimages/groucho.gif
18,Summon Candy Heart,http://images.kingdomofloathing.com/itemimages/candyheart.gif
19,Transcendent Olfaction,http://images.kingdomofloathing.com/itemimages/snout.gif
20,Really Expensive Jewelrycrafting,http://images.kingdomofloathing.com/itemimages/ring.gif
21,Lust,http://images.kingdomofloathing.com/itemimages/roman1.gif
22,Gluttony,http://images.kingdomofloathing.com/itemimages/roman2.gif
23,Greed,http://images.kingdomofloathing.com/itemimages/roman3.gif
24,Sloth,http://images.kingdomofloathing.com/itemimages/roman4.gif
25,Wrath,http://images.kingdomofloathing.com/itemimages/roman5.gif
26,Envy,http://images.kingdomofloathing.com/itemimages/roman6.gif
27,Pride,http://images.kingdomofloathing.com/itemimages/roman7.gif
28,Awesome Balls of Fire,http://images.kingdomofloathing.com/itemimages/fire.gif
29,Conjure Relaxing Campfire,http://images.kingdomofloathing.com/itemimages/campfire.gif
30,Snowclone,http://images.kingdomofloathing.com/itemimages/cyclone.gif
31,Maximum Chill,http://images.kingdomofloathing.com/itemimages/snowflake.gif
32,Eggsplosion,http://images.kingdomofloathing.com/itemimages/egg.gif
33,Mudbath,http://images.kingdomofloathing.com/itemimages/blooddrops.gif
36,Grease Lightning,http://images.kingdomofloathing.com/itemimages/greasebolt.gif
37,Inappropriate Backrub,http://images.kingdomofloathing.com/itemimages/wink.gif
38,Natural Born Scrabbler,http://images.kingdomofloathing.com/itemimages/nickel.gif
39,Thrift and Grift,http://images.kingdomofloathing.com/itemimages/dollarsign.gif
40,Abs of Tin,http://images.kingdomofloathing.com/itemimages/breastplate.gif
41,Marginally Insane,http://images.kingdomofloathing.com/itemimages/halfcrazy.gif
42,Raise Backup Dancer,http://images.kingdomofloathing.com/itemimages/tombstone.gif
43,Creepy Lullaby,http://images.kingdomofloathing.com/itemimages/creepysleepy.gif
44,Rainbow Gravitation,http://images.kingdomofloathing.com/itemimages/prismwad.gif
45,Vent Rage Gland,http://images.kingdomofloathing.com/itemimages/ventrage.gif
46,Slimy Sinews,http://images.kingdomofloathing.com/itemimages/slsinews.gif
47,Slimy Synapses,http://images.kingdomofloathing.com/itemimages/slbrain.gif
48,Slimy Shoulders,http://images.kingdomofloathing.com/itemimages/sebashield.gif
49,Gothy Handwave,http://images.kingdomofloathing.com/itemimages/loop.gif
50,Break It On Down,http://images.kingdomofloathing.com/itemimages/brokebone.gif
51,Pop and Lock It,http://images.kingdomofloathing.com/itemimages/oaf.gif
52,Run Like the Wind,http://images.kingdomofloathing.com/itemimages/fast.gif
53,Summon Crimbo Candy,http://images.kingdomofloathing.com/itemimages/candypile.gif
54,Unaccompanied Miner,http://images.kingdomofloathing.com/itemimages/mattock.gif
55,Volcanometeor Showeruption,http://images.kingdomofloathing.com/itemimages/volcmeteor.gif
56,Wassail,http://images.kingdomofloathing.com/itemimages/coffeecup.gif
57,Toynado,http://images.kingdomofloathing.com/itemimages/vortex.gif
58,Fashionably Late,http://images.kingdomofloathing.com/itemimages/watch.gif
59,Executive Narcolepsy,http://images.kingdomofloathing.com/itemimages/boredeyes.gif
60,Lunch Break,http://images.kingdomofloathing.com/itemimages/mpe.gif
61,Offensive Joke,http://images.kingdomofloathing.com/itemimages/wink.gif
62,Managerial Manipulation,http://images.kingdomofloathing.com/itemimages/necktie.gif
